time,led1,violet,blue,green
1551647094.36,191,3,9,16
1551647094.92,216,10,32,20
1551647095.48,229,19,79,41
1551647096.04,242,3,22,47
1551647096.61,255,20,87,86
1551647097.16,5
1551647097.72,229,20,86,85
1551647098.28,216,11,53,21
1551647098.84,191,1,2,14
1551647099.41,178,3,9,15
1551647099.96,165,1,2,9
1551647100.52,153,3,9,17
1551647101.08,140,3,9,16
1551647101.64,127,3,9,9
1551647102.2,102,1,1,4
1551647102.76,89,1,1,3
1551647103.32,76,1,1,3
1551647103.88,63,0,1,2
1551647104.44,51,0,0,2
1551647105.0,38,0,0,1
1551647105.56,25,0,0,1
1551647106.12,0,0,0,0
1551647106.68,12,0,0,1
1551647107.24,25,0,0,1
1551647107.8,38,0,0,1
1551647108.36,51,0,0,2
1551647108.92,63,1,1,2
1551647109.49,89,1,1,3
1551647110.04,102,1,1,4
1551647110.6,114,1,1,4
1551647111.16,127,1,1,4
1551647111.72,140,1,1,5
1551647112.28,153,1,1,7
1551647112.84,178,1,1,7
1551647113.4,191,1,1,8
1551647113.96,204,1,1,8
1551647114.53,216,1,2,9
1551647115.08,229,2,2,9
1551647115.64,242,2,2,10
1551647116.2,242,2,2,10
1551647116.76,229,2,2,9
1551647117.32,216,1,2,9
1551647117.89,204,1,2,8
1551647118.44,191,1,1,8
1551647119.0,178,1,1,7
1551647119.57,165,1,1,7
1551647120.12,140,1,1,5
1551647120.69,127,1,1,5
1551647121.24,114,1,1,4
1551647121.8,102,1,1,4
1551647122.36,89,1,1,3
1551647122.92,76,1,1,3
1551647123.48,51,0,0,2
1551647124.04,38,0,0,2
1551647124.6,25,0,0,1
1551647125.16,12,0,0,1
1551647125.72,0,0,0,0
1551647126.28,12,0,0,1
1551647126.84,38,1,2,53
1551647127.4,51,16,59,61
1551647127.96,63,15,48,56
1551647128.52,76,3,29,11
1551647129.08,89,2,17,94
1551647129.64,102,1,18,103
1551647130.2,127,1,22,128
1551647130.76,140,1,25,141
1551647131.32,153,1,28,154
1551647131.88,165,2,30,166
1551647132.44,178,2,32,178
1551647133.0,191,2,35,192
1551647133.56,216,2,40,219
1551647134.12,229,2,41,232
1551647134.68,242,2,44,245
1551647135.24,255,2,47,259
1551647135.8,242,2,44,245
1551647136.36,229,2,41,232
1551647136.92,204,2,37,206
1551647137.48,191,2,35,192
1551647138.04,178,2,32,179
1551647138.6,165,2,29,166
1551647139.16,153,1,28,154
1551647139.72,140,1,25,140
1551647140.29,114,1,20,113
1551647140.89,102,1,18,101
1551647141.44,89,1,16,88
1551647142.0,76,1,13,75
1551647142.57,63,1,10,63
1551647143.12,38,0,6,38
1551647143.68,25,0,4,25
1551647144.24,12,0,2,26
1551647144.8,0,0,1,1
1551647145.37,12,1,4,64
1551647145.92,25,17,78,76
1551647146.48,51,1,16,16
1551647147.04,63,1,14,33
1551647147.61,76,1,16,40
1551647148.17,89,1,18,47
1551647148.72,102,1,21,53
1551647149.29,127,2,26,68
1551647149.84,140,2,30,75
1551647150.4,153,2,33,81
1551647150.96,165,2,36,88
1551647151.52,178,3,39,95
1551647152.08,191,3,41,103
1551647152.64,216,3,47,116
1551647153.2,229,3,49,123
1551647153.76,242,3,52,130
1551647154.32,255,5,56,138
1551647154.88,242,5,52,130
1551647155.45,229,3,49,123
1551647156.0,204,3,44,108
1551647156.57,191,3,41,103
1551647157.13,178,3,37,94
1551647157.69,165,2,35,88
1551647158.25,153,2,32,81
1551647158.8,140,2,29,74
1551647159.36,114,2,24,59
1551647159.92,102,1,21,53
1551647160.49,89,1,18,46
1551647161.04,76,1,16,40
1551647161.61,63,1,13,33
1551647162.17,51,1,10,27
1551647162.72,25,0,5,13
1551647163.29,12,0,2,7
1551647163.85,0,1,4,25
1551647164.41,12,0,5,4
1551647164.97,25,16,70,68
1551647165.52,51,16,68,68
1551647166.09,63,1,1,10
1551647166.65,76,1,9,11
1551647167.21,89,1,10,14
1551647167.76,102,1,12,15
1551647168.33,114,1,13,17
1551647168.89,140,2,17,22
1551647169.45,153,2,18,23
1551647170.01,165,2,20,26
1551647170.57,178,2,21,28
1551647171.13,191,3,22,31
1551647171.68,204,3,25,32
1551647172.28,229,3,28,37
1551647172.85,242,3,29,38
1551647173.41,255,3,30,40
1551647173.97,242,3,29,38
1551647174.52,229,3,28,37
1551647175.09,216,3,26,34
1551647175.65,191,3,22,29
1551647176.21,178,2,21,28
1551647176.77,165,2,20,26
1551647177.33,153,2,18,23
1551647177.89,140,2,17,22
1551647178.45,127,2,16,20
1551647179.01,102,1,12,16
1551647179.57,89,1,10,14
1551647180.13,76,1,9,11
1551647180.69,63,1,8,9
1551647181.25,51,1,6,8
1551647181.81,38,1,4,5
1551647182.37,12,1,10,14
1551647182.92,0,0,1,17
1551647183.49,12,17,80,75
1551647184.05,25,17,82,75
1551647184.6,38,17,82,74
1551647185.17,63,2,5,23
1551647185.73,76,1,4,2
1551647186.29,89,1,4,3
1551647186.85,102,2,4,3
1551647187.41,114,2,5,4
1551647187.97,127,2,5,4
1551647188.53,153,3,6,5
