time,led1,violet,blue,green
1551643510.87,153,16,83,94
1551643511.43,165,16,83,94
1551643511.99,178,16,84,93
1551643512.55,191,16,84,94
1551643513.15,204,16,84,94
1551643513.71,229,16,84,94
1551643514.27,242,17,84,94
1551643514.83,255,17,84,94
1551643515.39,242,17,84,94
1551643515.99,229,16,84,94
1551643516.55,216,16,84,94
1551643517.11,191,16,83,94
1551643517.67,178,16,83,94
1551643518.23,165,16,84,93
1551643518.79,153,16,83,94
1551643519.35,140,16,83,93
1551643519.91,127,16,83,93
1551643520.47,102,15,83,93
1551643521.03,89,15,83,93
1551643521.59,76,15,82,93
1551643522.15,63,15,83,80
1551643522.71,51,11,68,37
1551643523.27,38,11,64,35
1551643523.83,12,14,82,92
1551643524.39,0,15,83,92
1551643524.95,12,7,64,49
1551643525.51,25,3,13,45
1551643526.07,38,2,4,5
1551643526.63,51,2,4,4
1551643527.19,76,3,5,5
1551643527.75,89,3,5,7
1551643528.31,102,5,6,8
1551643528.87,114,5,6,9
1551643529.43,127,6,8,9
1551643529.99,140,6,9,10
1551643530.55,165,7,10,11
1551643531.11,178,8,10,13
1551643531.67,191,8,12,14
1551643532.23,204,10,12,15
1551643532.79,216,10,13,15
1551643533.35,229,11,14,16
1551643533.91,255,12,16,19
1551643534.47,242,11,14,17
1551643535.03,229,11,14,16
1551643535.59,216,10,13,15
1551643536.15,204,10,12,15
1551643536.71,191,8,12,14
1551643537.27,165,7,10,11
1551643537.83,153,7,9,11
1551643538.39,140,6,9,10
1551643538.95,127,6,8,9
1551643539.51,114,5,6,8
1551643540.07,102,5,6,8
1551643540.63,89,3,5,7
1551643541.19,63,3,4,5
1551643541.75,51,2,4,4
1551643542.31,38,2,2,3
1551643542.87,25,1,1,3
1551643543.43,12,1,1,2
1551643543.99,12,1,1,2
1551643544.55,25,1,1,3
1551643545.11,38,2,5,17
1551643545.67,51,3,9,17
1551643546.23,63,2,5,5
1551643546.79,76,14,80,85
1551643547.35,102,12,44,49
1551643547.91,114,14,56,50
1551643548.47,127,12,51,51
1551643549.03,140,14,60,45
1551643549.59,153,11,28,26
1551643550.15,165,11,28,26
1551643550.71,191,11,26,25
1551643551.27,204,11,25,22
1551643551.83,216,11,24,21
1551643552.39,229,12,30,44
1551643552.95,242,8,28,14
1551643553.51,255,7,71,75
1551643554.07,229,7,61,62
1551643554.63,216,6,57,58
1551643555.19,204,6,53,55
1551643555.75,191,6,51,52
1551643556.31,178,5,48,49
1551643556.87,165,5,44,45
1551643557.43,153,5,41,41
1551643557.99,127,3,33,34
1551643558.55,114,3,30,32
1551643559.11,102,2,26,28
1551643559.67,89,2,24,25
1551643560.23,76,2,20,21
1551643560.79,63,2,17,17
1551643561.35,38,1,10,11
1551643561.91,25,1,6,8
1551643562.47,12,0,4,4
1551643563.03,0,0,0,1
1551643563.59,12,0,4,4
1551643564.15,38,1,10,11
1551643564.71,51,1,13,15
1551643565.27,63,2,17,17
1551643565.83,76,2,20,21
1551643566.39,4,25
1551643566.95,102,2,26,28
1551643567.51,127,3,33,35
1551643568.07,140,3,37,38
1551643568.63,153,5,40,41
1551643569.19,165,5,44,45
1551643569.75,178,5,47,49
1551643570.31,191,6,51,52
1551643570.87,204,6,55,56
1551643571.43,229,7,61,63
1551643571.99,242,7,64,67
1551643572.55,255,7,68,70
1551643573.11,242,7,64,67
1551643573.67,229,7,61,63
1551643574.23,216,6,57,59
1551643574.79,191,6,51,52
1551643575.35,178,5,48,49
1551643575.91,165,5,44,45
1551643576.47,153,5,40,41
1551643577.03,140,3,37,39
1551643577.59,127,5,36,45
1551643578.15,102,2,29,15
1551643578.71,89,14,83,83
1551643579.27,76,10,79,80
1551643579.83,63,8,75,73
1551643580.39,51,8,76,63
1551643580.95,38,3,41,11
1551643581.51,12,14,82,86
1551643582.07,0,14,82,92
1551643582.63,12,1,17,38
1551643583.19,25,1,9,27
1551643583.75,38,1,12,32
1551643584.31,51,2,16,43
1551643584.87,76,2,24,63
1551643585.43,89,3,29,73
1551643585.99,102,3,33,85
1551643586.55,114,5,37,94
1551643587.11,127,5,41,105
1551643587.67,140,5,45,117
1551643588.23,153,6,49,126
1551643588.79,178,7,57,148
1551643589.35,191,7,61,159
1551643589.91,204,7,67,170
1551643590.47,216,8,71,180
1551643591.03,229,8,75,191
